'Start Hour','Start Minute','End Hour','End Minute','Start Station','End Station'
23,53,23,59,31614,31641
23,51,23,57,31251,31636
23,51,23,58,31232,31218
23,50,23,55,31208,31613
23,50,23,53,31121,31104
23,50,23,56,31619,31631
23,51,23,54,31201,31214
23,47,23,55,31281,31268
23,47,23,53,31250,31214
23,47,23,55,31121,31229
23,46,23,51,31223,31232
23,46,23,56,31638,31615
23,45,23,57,31111,31103
23,45,23,46,31249,31249
23,46,23,55,31094,31016
23,44,23,48,31111,31101
23,44,23,57,31246,31251
23,43,23,51,31255,31204
23,43,23,49,31624,31600
23,43,23,59,31110,31275
23,42,23,46,31212,31246
23,42,23,50,31242,31267
23,41,23,43,31260,31257
23,39,23,44,31119,31229
23,39,23,55,31234,31603
23,40,23,53,31627,31245
23,37,23,43,31234,31229
23,37,23,48,31203,31218
23,37,23,48,31200,31519
23,36,23,42,31241,31101
23,37,23,39,31281,31223
23,35,23,46,31314,31215
23,35,23,45,31620,31616
23,34,23,37,31017,31016
23,34,23,47,31262,31120
23,32,23,50,32025,32025
23,32,23,55,31605,31605
23,32,23,36,31123,31101
23,32,23,36,31618,31618
23,31,23,58,31211,31014
23,31,23,34,31234,31201
23,31,23,34,31241,31201
23,31,23,50,32025,32025
23,31,23,46,31400,31223
23,30,23,46,31263,31117
23,29,23,41,31506,31241
23,28,23,34,31111,31203
23,28,23,53,31600,31613
23,28,23,34,31041,31045
23,28,23,38,31288,31628
23,27,23,37,31257,31101
23,27,23,35,31105,31241
23,27,23,45,31268,31623
23,27,23,29,31229,31214
23,26,23,40,31206,31200
23,26,23,53,31202,31258
23,25,23,32,31200,31116
23,25,23,42,31500,31632
23,25,23,52,31202,31258
23,25,23,53,31202,31258
23,25,23,41,31500,31632
23,25,23,30,31089,31050
23,24,23,28,31104,31103
23,24,23,43,31602,31404
23,24,23,50,31060,31005
23,23,23,41,31077,31032
23,23,23,30,31405,31400
23,23,23,41,31077,31032
23,23,23,28,31024,31035
23,22,23,51,31304,31304
23,21,23,39,31044,31098
23,21,23,30,31237,31266
23,21,23,47,31114,31222
23,20,23,27,31121,31101
23,20,23,31,31621,31266
23,20,23,24,31007,31009
23,19,23,30,31624,31241
23,19,23,23,31101,31123
23,19,23,27,31281,31282
23,19,23,36,31254,31602
23,20,23,40,31284,31200
23,20,23,29,31076,31063
23,18,23,33,31271,31218
23,18,23,41,31258,31091
23,17,23,31,31202,31404
23,17,23,30,31628,31605
23,17,23,21,32027,32053
23,17,23,23,31616,31519
23,18,23,36,31631,31257
23,16,23,43,31613,31102
23,16,23,19,31201,31214
23,16,23,24,32036,32001
23,16,23,28,31229,31212
23,16,23,44,31238,31513
23,16,23,30,31624,31628
23,16,23,19,31269,31610
23,16,23,20,31047,31043
23,16,23,23,32036,32001
23,16,23,32,31271,31218
23,16,23,32,31271,31218
23,17,23,24,31611,31603
23,15,23,40,31042,31084
23,15,23,40,31042,31084
23,15,23,33,31102,31307
23,15,23,22,31611,31616
23,15,23,35,31223,31269
23,15,23,34,31238,31506
23,14,23,24,31623,31605
23,14,23,22,31602,31104
23,14,23,20,31234,31114
23,13,23,22,31202,31602
23,12,23,25,31089,31053
23,12,23,16,31234,31212
23,12,23,19,31213,31200
23,12,23,17,31034,31023
23,12,23,16,31506,31513
23,12,23,23,31237,31223
23,11,23,20,31121,31101
23,11,23,15,31114,31104
23,11,23,17,31104,31117
23,10,23,12,31001,31011
23,10,23,13,31245,31281
23,10,23,43,31631,31617
23,9,23,43,31603,31205
23,9,23,25,31007,31052
23,9,23,15,31625,31606
23,8,23,27,31080,31110
23,8,23,20,31016,31031
23,7,23,33,31611,31110
23,7,23,22,31616,31283
23,7,23,22,31258,31077
23,7,23,13,31613,31628
23,7,23,22,31616,31283
23,6,23,13,32046,32029
23,6,23,21,31258,31249
23,6,23,21,31258,31249
23,5,23,10,31623,31616
23,5,23,12,31252,31241
23,6,23,12,31307,31300
23,4,23,9,31400,31406
23,4,23,5,31303,31303
23,4,23,14,31215,31267
23,4,23,14,31203,31506
23,4,23,9,31113,31234
23,4,23,12,31200,31275
23,3,23,22,31258,31077
23,3,23,11,31225,31285
23,3,23,11,31200,31246
23,3,23,12,31230,31202
23,3,23,20,31300,31300
23,3,23,9,31400,31406
23,2,23,8,31227,31636
23,2,23,7,31090,31007
23,2,23,5,31200,31214
23,2,23,22,31101,31237
23,2,23,33,31241,31238
23,2,23,13,31103,31636
23,1,23,10,31214,31251
23,1,23,23,31306,31306
23,1,23,6,31090,31007
23,1,23,16,31510,31617
23,1,23,9,32014,32046
23,1,23,10,31624,31281
23,0,23,21,31203,31014
23,0,23,18,31244,31258
23,1,23,10,31232,31245
23,1,23,4,31278,31116
22,59,23,8,31257,31201
22,59,23,8,31265,31280
22,58,23,23,31249,31237
22,58,23,19,31110,31400
22,58,23,19,31401,31232
22,58,23,23,31249,31237
22,58,23,21,31504,31637
22,58,23,26,31407,31266
22,59,23,26,31407,31266
22,57,22,59,31641,31639
22,57,23,10,31278,31107
22,57,23,23,31249,31237
22,56,23,1,31237,31260
22,56,23,3,31216,31600
22,56,23,1,31202,31214
22,55,23,18,31257,31107
22,55,23,13,31288,31614
22,55,22,59,31214,31200
22,55,23,32,31042,31060
22,55,23,1,31307,31106
22,55,23,6,31641,31605
22,55,23,32,31042,31060
22,55,23,10,31104,31519
22,55,23,12,32025,32025
22,55,23,12,32025,32025
22,54,23,4,31606,31630
22,54,23,4,31200,31103
22,54,22,59,31201,31229
22,54,23,1,31616,31611
22,54,23,3,31229,31111
22,54,22,59,32014,31315
22,54,23,12,31288,31614
22,54,22,57,31018,31016
22,54,23,8,31243,31244
22,53,23,13,31100,31620
22,53,23,3,31204,31230
22,52,22,59,31268,31214
22,52,23,7,31107,31214
22,52,23,8,31613,31251
22,53,23,11,31244,31508
22,51,23,3,31101,31307
22,51,22,59,31613,31622
22,51,22,58,31271,31604
22,50,22,58,31109,31116
22,50,22,57,31241,31278
22,50,23,3,31246,31212
22,50,22,54,31109,31503
22,50,23,0,31251,31255
22,50,23,3,31246,31212
22,51,23,5,31285,31285
22,49,22,58,31602,31602
22,49,23,33,31241,31238
22,49,23,11,31060,31001
22,50,23,2,31200,31102
22,48,23,16,31247,31639
22,48,23,9,31623,31614
22,48,23,16,31602,31014
22,48,22,56,31200,31202
22,48,22,55,31115,31123
22,48,23,2,31245,31611
22,47,23,16,31247,31639
22,47,23,1,31712,31517
22,46,23,6,31270,31258
22,46,23,6,31001,31060
22,46,23,5,31603,31207
22,46,22,58,31639,31605
22,46,23,22,31616,31275
22,46,22,54,31108,31218
22,46,23,3,31269,31281
22,45,23,48,31232,31314
22,45,22,56,31800,31801
22,45,23,0,31203,31245
22,45,22,49,31006,31004
22,45,23,6,31270,31258
22,45,22,49,31223,31286
22,44,22,50,31275,31229
22,44,22,50,31236,31015
22,44,22,49,31214,31202
22,44,23,9,31602,31246
22,44,22,51,31201,31201
22,44,23,0,31103,31213
22,45,22,54,31047,31088
22,43,22,46,31801,31807
22,43,22,49,31272,31217
22,43,23,46,31240,31240
22,43,22,58,31228,31275
22,43,22,58,31515,31504
22,43,23,5,31508,31278
22,43,22,52,31201,31117
22,43,23,0,31269,31241
22,42,22,55,31603,31513
22,42,23,32,31284,31235
22,42,22,55,31263,31278
22,42,23,9,31639,31622
22,42,23,46,31240,31240
22,42,23,32,31284,31235
22,41,22,52,31620,31612
22,41,23,1,31249,31258
22,41,22,49,31228,31233
22,41,22,42,31284,31284
22,41,22,52,31312,31200
22,41,22,48,31600,31271
22,41,22,50,31228,31233
22,41,22,50,31228,31616
22,41,22,51,31603,31500
22,42,23,1,31249,31258
22,40,23,27,31109,31204
22,40,23,14,31603,31306
22,40,22,56,31212,31103
22,40,22,49,31600,31280
22,40,22,46,31223,31280
22,40,22,51,31241,31237
22,39,22,51,31602,31506
22,39,22,45,31113,31234
22,38,22,48,31639,31612
22,38,22,54,31624,31239
22,38,22,47,31266,31255
22,38,22,46,31208,31605
22,38,22,45,31007,31010
22,38,22,45,31623,31610
22,37,22,38,31021,31021
22,37,22,58,31122,31401
22,37,22,58,31249,31005
22,37,22,58,31249,31005
22,37,22,45,31110,31285
22,37,22,58,31603,31119
22,37,22,56,31603,31108
22,37,22,41,31278,31114
22,37,23,4,31603,31218
22,37,22,41,31278,31114
22,37,22,41,31613,31610
22,37,22,59,31121,31603
22,37,22,59,31121,31603
22,38,22,45,31639,31640
22,36,22,50,31603,31101
22,36,22,44,31281,31637
22,36,22,50,31404,31116
22,36,22,48,31632,31618
22,35,22,50,31202,31602
22,35,22,39,31602,31400
22,34,22,59,31214,31245
22,34,22,37,31029,31093
22,34,22,37,31029,31079
22,34,23,9,31603,31639
22,35,22,47,31213,31101
22,33,23,4,31314,32046
22,33,22,37,31623,31624
22,33,22,48,31509,31508
22,33,22,55,31503,31616
22,33,22,50,31216,31244
22,33,22,48,31243,31222
22,33,22,42,31282,31113
22,32,22,37,31201,31111
22,32,22,45,31509,31509
22,32,22,48,31623,31115
22,32,22,51,31009,31001
22,32,22,54,31603,31503
22,32,22,42,31628,31272
22,32,22,50,31286,31103
22,32,22,49,31274,31200
22,33,22,52,31213,31269
22,31,22,44,31201,31513
22,31,22,51,31229,31281
22,31,22,47,31107,31604
22,31,22,35,31285,31278
22,31,22,47,31614,31623
22,31,22,58,31634,31600
22,32,22,43,31623,31607
22,30,22,42,31045,31041
22,30,22,39,31229,31121
22,30,22,37,31229,31245
22,29,22,35,31111,31201
22,29,22,31,31640,31612
22,29,22,45,31628,31607
22,29,22,41,31202,31255
22,29,22,36,31509,31505
22,30,22,49,31304,31229
22,30,22,45,31628,31607
22,28,23,13,31275,31275
22,28,22,36,31200,31200
22,28,22,34,31613,31622
22,28,22,35,31618,31613
22,28,22,31,31303,31308
22,28,22,38,31215,31267
22,28,22,41,31214,31519
22,29,22,36,31122,31113
22,27,22,43,31228,31201
22,27,22,35,31241,31506
22,27,22,49,31506,31275
22,27,22,37,31084,31045
22,27,22,36,31232,31623
22,27,22,50,31506,31275
22,27,22,39,31222,31200
22,26,22,45,31628,31639
22,26,22,27,31237,31275
22,26,22,32,31101,31203
22,26,22,32,31098,31044
22,26,23,54,31289,31110
22,26,22,42,31910,31910
22,26,22,37,31312,31267
22,26,22,35,31506,31245
22,26,22,32,31101,31203
22,25,22,42,31105,31312
22,25,22,34,31208,31618
22,25,22,33,31624,31618
22,25,22,37,31104,31200
22,25,22,34,31279,31267
22,25,22,28,31280,31109
22,24,22,36,31270,31201
22,24,22,38,31268,31223
22,24,22,34,31107,31406
22,24,22,33,31634,31613
22,24,22,34,31101,31102
22,24,22,48,31634,31612
22,24,22,50,31904,31057
22,24,22,28,31103,31104
22,24,22,44,31111,31618
22,23,22,32,31617,31623
22,23,22,28,31610,31618
22,23,22,37,31203,31506
22,23,22,27,31047,31083
22,23,22,28,31223,31109
22,23,22,35,31223,31201
22,23,22,31,31641,31604
22,23,22,33,31634,31613
22,23,22,37,31266,31212
22,24,22,37,31266,31212
22,22,22,25,31223,31266
22,22,22,31,31517,31518
22,22,22,41,31108,31623
22,22,23,39,31618,31618
22,22,22,38,31215,31265
22,22,22,32,31208,31606
22,22,22,31,31011,31009
22,22,22,47,31623,31501
22,23,22,33,31278,31245
22,23,22,39,31307,31315
22,21,23,4,31258,31628
22,21,22,45,31209,31270
22,21,22,43,31209,31270
22,21,22,46,31624,31117
22,21,22,37,31203,31619
22,21,23,4,31258,31628
22,21,22,25,31114,31101
22,21,22,36,31246,31250
22,21,23,39,31618,31618
22,22,22,32,31208,31606
22,20,22,31,31113,31268
22,20,22,30,31406,31122
22,20,23,17,31209,31513
22,20,22,27,31281,31228
22,20,22,32,31232,31269
22,19,22,29,31628,31218
22,19,22,28,31600,31623
22,19,22,41,31628,31278
22,19,22,32,31407,31106
22,19,22,29,31628,31218
22,19,22,35,31270,31269
22,19,22,25,31258,31258
22,19,22,57,31240,31260
22,19,22,53,31104,31109
22,18,22,25,31031,31030
22,18,22,29,31270,31204
22,18,22,29,31274,31233
22,18,22,27,31628,31618
22,18,22,36,31209,31614
22,18,22,23,31308,31300
22,19,22,30,31251,31214
22,17,22,26,31251,31214
22,17,23,5,31265,31265
22,17,22,35,31616,31607
22,17,22,22,31208,31625
22,17,22,26,31641,31628
22,17,22,37,31209,31249
22,17,22,35,31616,31607
22,17,23,52,31219,31222
22,17,23,52,31219,31222
22,17,22,37,31209,31249
22,17,22,48,31104,31109
22,17,22,24,31506,31506
22,16,22,52,31104,31109
22,16,22,19,31103,31107
22,16,22,36,31016,31901
22,16,22,17,31202,31202
22,16,23,14,31618,31220
22,16,22,37,31506,31266
22,16,22,30,31203,31509
22,15,22,32,31268,31509
22,15,22,43,31248,31243
22,15,23,13,31618,31220
22,15,23,14,31618,31220
22,15,22,43,31248,31243
22,15,22,39,31257,31114
22,15,22,19,31268,31282
22,15,22,33,31634,31623
22,15,23,14,31618,31220
22,15,22,43,31633,31289
22,15,22,26,31110,31214
22,15,22,24,31202,31234
22,15,22,42,31633,31289
22,16,22,28,31280,31285
22,16,22,29,31265,31623
22,16,22,36,31318,31122
22,16,22,21,31600,31251
22,14,22,19,31278,31104
22,14,22,17,31110,31114
22,14,22,26,31289,31225
22,14,22,44,31242,31603
22,14,22,39,31288,31225
22,14,22,21,31264,31222
22,14,22,20,31230,31600
22,14,22,26,31209,31607
22,14,22,16,31104,31114
22,14,22,45,31277,31007
22,14,22,29,31218,31619
22,15,22,26,31289,31225
22,13,22,21,31214,31122
22,13,22,40,31288,31610
22,13,22,24,31200,31106
22,13,22,20,31213,31278
22,13,22,29,31101,31275
22,13,22,25,31202,31116
22,13,22,41,31288,31610
22,14,22,17,31267,31283
22,12,22,15,31504,31511
22,12,22,20,31318,31305
22,12,22,24,31101,31122
22,12,22,18,31120,31266
22,12,22,22,31102,31104
22,11,22,40,31272,31247
22,11,22,26,31047,31010
22,11,22,15,31223,31251
22,11,22,31,31249,31001
22,11,22,31,31249,31001
22,11,22,13,31105,31103
22,11,22,20,31629,31627
22,11,22,23,31611,31620
22,10,22,28,31208,31600
22,10,22,15,31611,31616
22,10,22,22,31209,31610
22,10,22,30,31209,31612
22,10,22,42,31242,31602
22,10,22,18,31213,31604
22,10,22,24,31006,31056
22,10,22,29,31209,31244
22,10,22,21,31111,31506
22,10,22,22,31258,31249
22,10,22,28,31264,31244
22,9,22,38,31272,31247
22,9,22,34,31239,31258
22,9,22,18,31610,31617
22,9,22,21,31209,31613
22,9,22,25,31628,31616
22,9,22,17,31107,31101
22,9,22,34,31239,31258
22,9,22,16,31203,31509
22,9,22,22,31258,31249
22,9,22,19,31628,31618
22,8,22,26,31209,31228
22,8,22,23,31266,31115
22,8,22,12,31037,31024
22,7,22,17,31118,31280
22,7,22,11,31216,31228
22,7,22,12,31201,31285
22,7,22,17,31618,31628
22,7,22,29,31277,31077
22,7,22,43,31204,31265
22,7,22,12,31223,31241
22,7,22,18,31616,31618
22,7,22,19,31602,31266
22,8,22,34,31628,31241
22,8,22,28,31605,31109
22,6,22,14,31509,31202
22,6,22,14,31223,31201
22,6,22,23,31120,31108
22,6,22,16,31201,31116
22,6,22,16,31201,31116
22,6,22,17,31209,31613
22,6,22,17,31615,31630
22,6,22,17,31209,31613
22,6,22,14,31208,31605
22,6,22,17,31209,31613
22,6,22,10,31288,31244
22,7,22,14,31208,31605
22,5,22,21,31303,31106
22,5,22,17,31616,31630
22,5,22,17,31109,31110
22,5,22,19,31601,31616
22,5,22,20,31266,31104
22,5,23,42,31247,31269
22,5,23,42,31247,31269
22,4,22,13,31305,31113
22,4,22,38,31102,31610
22,4,22,14,31114,31266
22,4,22,21,31228,31610
22,4,22,11,31228,31281
22,4,22,25,31209,31616
22,3,22,13,31315,31300
22,3,22,14,31215,31258
22,3,22,18,31211,31101
22,3,22,21,32045,32004
22,3,22,22,31271,31241
22,4,22,16,31282,31621
22,2,22,29,31101,31116
22,2,22,15,31257,31270
22,2,22,10,31109,31203
22,2,22,7,31267,31285
22,2,22,10,31109,31203
22,2,22,24,31313,31280
22,2,22,6,31607,31630
22,2,22,15,31400,31280
22,2,22,33,31120,31603
22,2,23,15,31204,31248
22,3,22,27,31600,31404
22,1,23,16,31204,31248
22,1,22,32,31216,31300
22,1,22,42,31215,31624
22,1,22,19,31265,31245
22,1,22,19,31245,31611
22,0,22,19,31203,31245
22,0,22,7,31215,31257
22,0,22,22,31252,31623
22,0,22,8,31404,31207
22,0,22,11,31625,31616
22,0,22,3,31313,31300
22,0,22,11,31278,31266
22,0,22,3,32008,32048
22,0,22,9,31604,31203
22,1,22,42,31215,31624
21,59,22,15,31200,31602
21,59,22,42,31215,31624
21,59,22,42,31215,31624
21,59,22,12,31634,31629
21,59,22,18,31602,31514
21,59,22,20,31272,31237
21,59,22,9,31105,31109
21,59,23,16,31204,31248
21,59,22,2,31229,31214
21,59,22,12,31250,31281
21,59,22,3,31103,31214
21,59,22,7,31239,31223
21,59,22,7,31607,31618
21,59,22,9,31105,31109
21,58,22,23,32051,32051
21,58,22,1,32000,32027
21,58,22,10,31211,31267
21,58,22,19,31247,31616
21,58,22,13,31209,31288
21,58,22,8,31289,31257
21,58,22,1,31613,31629
21,58,22,2,31275,31255
21,58,22,19,31209,31611
21,59,22,6,31611,31627
21,57,22,11,31224,31263
21,57,22,8,31202,31600
21,57,22,14,31101,31274
21,57,22,6,31109,31503
21,57,22,12,31203,31118
21,56,22,13,31208,31614
21,56,22,8,31209,31629
21,56,22,21,31503,31517
21,56,22,23,32051,32051
21,56,22,18,31228,31307
21,56,22,25,31209,31214
21,56,22,11,31224,31263
21,55,22,14,31209,31621
21,55,22,23,32051,32051
21,55,22,16,31203,31616
21,55,21,57,31213,31213
21,55,22,20,32041,32041
21,55,22,6,31201,31204
21,55,22,4,31266,31604
21,55,22,5,31122,31121
21,55,22,9,31257,31285
21,55,22,5,31122,31278
21,54,21,59,31602,31107
21,54,22,12,31237,31240
21,54,22,22,31300,31100
21,54,22,3,31606,31208
21,54,22,12,31237,31240
21,54,22,12,31237,31240
21,54,22,12,31623,31607
21,54,22,16,31203,31616
21,54,21,59,31405,31404
21,54,22,3,31605,31627
21,54,22,8,31603,31266
21,55,22,10,31109,31104
21,55,22,14,31284,31268
21,53,22,1,31101,31602
